cfr,ecd
888b5176e37303c8d9f0f65befa635a7,219
07fbc193b06a259f992024e8407972e2,219
81a08ae5f0de26b8598442c006b222df,219
3effa53cdd76e4980d42df659b0f8676,219
84b51101e50c1d338acfe9bf0ac64e90,500
2c0986c24f355df81c30769ef91dfe7f,500
b61bbd51bf6bcbfedf390ff82d6a3d59,219
fede3263d321c9a38c85de31d8ba4d78,219
b3222585166194a3932539cc4115aee4,219
029bf2c4fcee5c3b08598373a1043741,219
37451b29d119832a33edb65327bcf4a4,219
6dfc9b7235c843e1974d6e6713c22c9c,219
42d1d568638eca2f47f74e5e678e7d16,219
7973de188a584492bda40f9e0c2658fd,500
b87f4f87a9b687a66f69a974176c498a,500
43e6bd29179e23eeb013ce613a965a4b,219
940a83f9dd4ca8168d0c890470308e49,219
dc3f0e6e31aa3ca4abb750135393284b,219